EOS space usage on 2018-07-19 10:21:45
    User      Used Physical     Used Logical    Avail Physical   Avail Logical    Used Files  Avail Files        Space/Files   
jpusztay              6.87 GB          3.43 GB          4.29 TB          2.15 TB          228       500000    ok/ok
jbowen                6.85 GB          3.43 GB          4.29 TB          2.15 TB           42       500000    ok/ok
cleloup               6.85 GB          3.43 GB          4.29 TB          2.15 TB           42       500000    ok/ok
cfangmei              6.85 GB          3.42 GB          4.29 TB          2.15 TB           43       500000    ok/ok
bravo                 6.85 GB          3.42 GB          4.29 TB          2.15 TB           42       500000    ok/ok
cjjacob               6.82 GB          3.41 GB          4.29 TB          2.15 TB           41       500000    ok/ok
msaunder              6.80 GB          3.40 GB          4.00 TB          2.00 TB        21517       500000    ok/ok
aarmstro              6.05 GB          3.02 GB          4.29 TB          2.15 TB         2546       500000    ok/ok
dteague               6.02 GB          3.01 GB       1000.00 GB        500.00 GB        15636       500000    ok/ok
adorsett              5.29 GB          2.64 GB          4.29 TB          2.15 TB           52       500000    ok/ok
ssirisky              5.10 GB          2.55 GB          4.29 TB          2.15 TB          523       500000    ok/ok
msegura               4.96 GB          2.48 GB          4.00 TB          2.00 TB         3411       500000    ok/ok
pivarski              4.91 GB          2.45 GB          4.29 TB          2.15 TB           16       500000    ok/ok
alanman               4.51 GB          2.26 GB          4.00 TB          2.00 TB        15126       500000    ok/ok
gcumming              4.28 GB          2.14 GB          4.29 TB          2.15 TB           23       500000    ok/ok
jmaruri               4.28 GB          2.14 GB          4.00 TB          2.00 TB         3748       500000    ok/ok
nanlu                 3.89 GB          1.95 GB          4.00 TB          2.00 TB         1552       500000    ok/ok
ebouvier              3.82 GB          1.91 GB          4.40 TB          2.20 TB           35       500000    ok/ok
tadams                3.56 GB          1.78 GB          4.29 TB          2.15 TB            1       500000    ok/ok
demarley              3.55 GB          1.78 GB          4.29 TB          2.15 TB         5354       500000    ok/ok
ewv                   3.44 GB          1.72 GB          4.29 TB          2.15 TB            8       500000    ok/ok
lisa                  3.19 GB          1.60 GB          4.00 GB          2.00 GB           37            0    ok/ignored
winstrom              3.08 GB          1.54 GB          4.29 TB          2.15 TB          909       500000    ok/ok
bakken                3.01 GB          1.50 GB          4.29 TB          2.15 TB            5       500000    ok/ok
jschulte              2.71 GB          1.36 GB          4.00 TB          2.00 TB         2628       500000    ok/ok
ahunt                 2.69 GB          1.35 GB          4.29 TB          2.15 TB           38       500000    ok/ok
jervar                2.65 GB          1.32 GB          4.29 TB          2.15 TB            3       500000    ok/ok
olivito               2.46 GB          1.23 GB          4.29 TB          2.15 TB            9       500000    ok/ok
macosta               2.35 GB          1.18 GB          4.29 TB          2.15 TB           14       500000    ok/ok
mkim                  2.32 GB          1.16 GB          4.29 TB          2.15 TB           24       500000    ok/ok
nkellams              2.15 GB          1.07 GB          4.29 TB          2.15 TB           10       500000    ok/ok
timm                  2.15 GB          1.07 GB          4.29 TB          2.15 TB            4       500000    ok/ok
chuh                  2.10 GB          1.05 GB          4.00 TB          2.00 TB        31269       500000    ok/ok
pt01                  2.08 GB          1.04 GB          4.29 TB          2.15 TB            3       500000    ok/ok
jcarson1              2.05 GB          1.03 GB          4.29 TB          2.15 TB           28       500000    ok/ok
sun786                2.01 GB          1.01 GB          4.29 TB          2.15 TB            7       500000    ok/ok
xguo93                1.80 GB        901.08 MB          4.40 TB          2.20 TB        10631       500000    ok/ok
vannerom              1.62 GB        811.45 MB          4.29 TB          2.15 TB           41       500000    ok/ok
nstrobbe              1.51 GB        757.34 MB          4.29 TB          2.15 TB            3       500000    ok/ok
tmengke               1.49 GB        746.36 MB          4.00 TB          2.00 TB          122       500000    ok/ok
cjs                   1.00 GB        500.47 MB          4.29 TB          2.15 TB           18       500000    ok/ok
ashah               868.91 MB        434.45 MB          4.00 TB          2.00 TB          217       500000    ok/ok
jdl                 861.98 MB        430.99 MB          4.29 TB          2.15 TB           69       500000    ok/ok
abohenic            810.98 MB        405.49 MB          4.00 TB          2.00 TB         1455       500000    ok/ok
cmalca              809.21 MB        404.60 MB          4.29 TB          2.15 TB           11       500000    ok/ok
mduran              671.67 MB        335.83 MB          4.29 TB          2.15 TB         1445       500000    ok/ok
jschulz             616.57 MB        308.29 MB          4.40 TB          2.20 TB          712       500000    ok/ok
prolay              605.12 MB        302.56 MB          4.29 TB          2.15 TB          149       500000    ok/ok
rank                563.30 MB        281.65 MB          4.29 TB          2.15 TB        14028       500000    ok/ok
caust78             544.95 MB        272.48 MB          4.40 TB          2.20 TB         4761       500000    ok/ok
acanepa             486.49 MB        243.24 MB          4.00 TB          2.00 TB         3018       500000    ok/ok
byates              477.04 MB        238.52 MB          4.29 TB          2.15 TB          131       500000    ok/ok
aarulana            470.16 MB        235.08 MB          4.00 TB          2.00 TB        12353       500000    ok/ok
smuthumu            454.40 MB        227.20 MB          4.00 TB          2.00 TB          150       500000    ok/ok
salvador            449.38 MB        224.69 MB          4.29 TB          2.15 TB           40       500000    ok/ok
mmccrack            447.27 MB        223.63 MB          4.29 TB          2.15 TB           39       500000    ok/ok
aevans26            431.42 MB        215.71 MB          4.29 TB          2.15 TB           38       500000    ok/ok
fabiola             376.42 MB        188.21 MB          4.29 TB          2.15 TB           33       500000    ok/ok
mplaner             324.86 MB        162.43 MB          4.29 TB          2.15 TB            1       500000    ok/ok
hirosky             298.55 MB        149.27 MB          4.29 TB          2.15 TB            1       500000    ok/ok
belforte            238.61 MB        119.31 MB          4.29 TB          2.15 TB           57       500000    ok/ok
vmariani            193.05 MB         96.53 MB          4.29 TB          2.15 TB           25       500000    ok/ok
keanet              177.70 MB         88.85 MB          4.29 TB          2.15 TB            8       500000    ok/ok
jblee               159.14 MB         79.57 MB          4.29 TB          2.15 TB          103       500000    ok/ok
apurohit            126.99 MB         63.49 MB          4.29 TB          2.15 TB          869       500000    ok/ok
mpaddock            107.47 MB         53.74 MB          4.29 TB          2.15 TB            6       500000    ok/ok
dszkola              95.29 MB         47.64 MB          4.00 TB          2.00 TB            6       500000    ok/ok
kmtos                69.71 MB         34.86 MB       1000.00 GB        500.00 GB           20       500000    ok/ok
veverka              53.03 MB         26.52 MB          4.29 TB          2.15 TB           25       500000    ok/ok
cbaldene             51.79 MB         25.90 MB          4.29 TB          2.15 TB            1       500000    ok/ok
belt                 38.97 MB         19.49 MB          4.29 TB          2.15 TB           10       500000    ok/ok
xs2zx                37.40 MB         18.70 MB          4.29 TB          2.15 TB           10       500000    ok/ok
aorvedah             34.65 MB         17.32 MB          4.00 TB          2.00 TB          110       500000    ok/ok
bafranci             32.22 MB         16.11 MB          4.00 TB          2.00 TB          403       500000    ok/ok
tmishra              29.59 MB         14.80 MB          4.00 TB          2.00 TB          679       500000    ok/ok
